caption	image
STINEGOYA fw23 The woman is wearing a brown coat, which is made of a wool material, and she is carrying a matching brown purse.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane3-9a7eeeb9.jpg
STINEGOYA fw23 The woman is wearing a dress made of a material that resembles a banana peel, and the dress is yellow in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane4-e28e7d50.jpg
STINEGOYA fw23 The clothes in the image are made of materials like silk and wool, and they come in various colors, including black, white, and brown	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane5-21905e21.jpg
STINEGOYA fw23 The woman is wearing a brown dress with a white collar, and she is also wearing a brown coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane6-2c8bfe30.jpg
STINEGOYA fw23 The clothes in the image are made of black and white materials, and the woman is wearing a black and white outfit.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane7-577583de.jpg
STINEGOYA fw23 The clothes are made of silk, which is a lightweight and luxurious fabric, and they are colored in blue and green, creating a	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane8-f747921d.jpg
STINEGOYA fw23 The woman is wearing a black dress and a hat, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane9-9f6634e3.jpg
STINEGOYA fw23 The woman is wearing a white dress, a gray coat, and a hat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane10-dc80a2cb.jpg
STINEGOYA fw23 The clothes in the image are made of wool and are predominantly blue and white.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane11-b0c4cf5b.jpg
STINEGOYA fw23 The clothes in the image are made of materials like silk and wool, and they come in various colors, including white, gray, and black	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane12-717f700d.jpg
STINEGOYA fw23 The dress is made of silk, and it is white and black in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane13-f5ec2242.jpg
STINEGOYA fw23 The woman is wearing a brown coat, which is made of wool, and she is also wearing a green scarf.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane14-9491c8d4.jpg
STINEGOYA fw23 The woman is wearing a dress made of a material that resembles leaves, and the dress is green and orange in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane15-552e156a.jpg
STINEGOYA fw23 The woman is wearing a green suit, which is made of silk, and she is carrying a matching green purse.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane16-321f61ba.jpg
STINEGOYA fw23 The woman is wearing a green and blue jacket, a white shirt, and a pair of blue pants.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane17-8dd677a1.jpg
STINEGOYA fw23 The woman is wearing a green dress and a green towel.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane18-5b10c00c.jpg
STINEGOYA fw23 The woman is wearing a black dress with a green stripe, and she is also wearing a green coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane19-28b09e21.jpg
STINEGOYA fw23 The woman is wearing a green coat, which is made of fur, and she is also wearing a green hat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane20-83b40567.jpg
STINEGOYA fw23 The clothes are made of black and white materials, and the woman is wearing a black jacket and black pants.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane21-29cad34a.jpg
STINEGOYA fw23 The clothes are made of a mix of materials, including fur, and they are colored in bright, vibrant colors.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane22-d4022807.jpg
STINEGOYA fw23 The clothes are made of plastic and are purple and white in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane23-4d39d863.jpg
STINEGOYA fw23 The clothes are made of brightly colored materials, including a purple dress and a yellow shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane24-d0fd786b.jpg
STINEGOYA fw23 The clothes in the image are made of lightweight, flowy materials, such as chiffon, and feature pastel colors like purple and	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane25-7cd70ecc.jpg
STINEGOYA fw23 The clothes are made of materials like wool and silk, and they come in various colors, including purple, white, and gray.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane26-1aef0c58.jpg
STINEGOYA fw23 The woman is wearing a purple coat, which is made of wool, and she is also wearing a purple dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane27-9fe18cdc.jpg
STINEGOYA fw23 The clothes in the image are made of silver and white materials, and the woman is wearing a silver jacket.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane28-472dde6c.jpg
STINEGOYA fw23 The clothes in the image are made of materials like silver and white, and they are colored silver and white.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane29-fa8e89d6.jpg
STINEGOYA fw23 The woman is wearing a white sweater and a green dress, both of which are made of wool.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane30-f7d9b0c9.jpg
STINEGOYA fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane31-d29f1633.jpg
STINEGOYA fw23 The woman is wearing a black jacket, a white shirt, and a black tie, which are all black and white in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane32-cf4f76a0.jpg
STINEGOYA fw23 The woman is wearing a black dress with a leather jacket, and her shoes are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane33-cd7af36c.jpg
STINEGOYA fw23 The woman is wearing a blue dress and a jacket, which are made of silk.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane34-01b86c45.jpg
STINEGOYA fw23 The woman is wearing a white dress, which is made of a see-through material, and she is carrying a blue bag.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane35-25e4d6f9.jpg
STINEGOYA fw23 The woman is wearing a blue dress, which is made of silk, and she is carrying a silver bag.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/aw23copenhagenfashionweekstinegoyarunway23jamescochrane361-05eecfcd.jpg
Versace fw23 The woman is wearing a black suit, which includes a black jacket, a black skirt, and a black tie.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20231-0bcf2699.jpg
Versace fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing black boots.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20232-d42959e7.jpg
Versace fw23 The woman is wearing a black coat, a black dress, and black gloves.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20233-730b9017.jpg
Versace fw23 The man is wearing a black suit, which is made of leather, and he is also wearing black gloves.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20234-d9e18764.jpg
Versace fw23 The man is wearing a black suit, a black tie, and a black coat, which are all made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20235-e0401906.jpg
Versace fw23 The man is wearing a black suit, a white shirt, and a black tie.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20236-88b391be.jpg
Versace fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing sunglasses.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20237-31885742.jpg
Versace fw23 The woman is wearing a black dress and a black coat, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20238-597851da.jpg
Versace fw23 The woman is wearing a black dress, which is made of silk, and she is also wearing sunglasses.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter20239-9f56ebae.jpg
Versace fw23 The woman is wearing a brown fur coat, a black dress, and black gloves.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202310-b1169eb9.jpg
Versace fw23 The woman is wearing a black fur coat, a brown dress, and black boots.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202311-d667358e.jpg
Versace fw23 The woman is wearing a black dress, a black coat, and black gloves.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202312-985342b2.jpg
Versace fw23 The woman is wearing a purple coat, which is made of wool, and a white dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202313-d52aab2b.jpg
Versace fw23 The woman is wearing a black dress, which is made of silk, and she is also wearing a black glove.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202314-541d07a9.jpg
Versace fw23 The woman is wearing a dress made of a lightweight, flowing material, and it is blue in color.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202315-69470967.jpg
Versace fw23 The woman is wearing a black dress, which is made of silk, and she is carrying a black purse.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202316-032748de.jpg
Versace fw23 The woman is wearing a black dress and a black coat, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202317-c57f77e1.jpg
Versace fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202318-73bfa903.jpg
Versace fw23 The man is wearing a black shirt, black pants, and sunglasses.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202319-1d166e01.jpg
Versace fw23 The woman is wearing a black dress, which is made of leather, and she is carrying a black purse.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202320-04dad1ef.jpg
Versace fw23 The woman is wearing a black dress, which is made of silk, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202321-c8f88f19.jpg
Versace fw23 The woman is wearing a black coat, which is made of leather, and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202322-ba308a92.jpg
Versace fw23 The man is wearing a black shirt and a black jacket, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202323-f5855738.jpg
Versace fw23 The woman is wearing a black coat, black boots, and a white dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202324-0ff2474e.jpg
Versace fw23 The man is wearing a black shirt, a black tie, and a black jacket, all of which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202325-d74b199c.jpg
Versace fw23 The man is wearing a black jacket, which is made of leather, and a white shirt.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202326-d4ee3514.jpg
Versace fw23 The woman is wearing a black jacket, a brown belt, and a black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202327-9e02435e.jpg
Versace fw23 The woman is wearing a brown jacket, which is made of leather, and a brown dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202328-39225fd8.jpg
Versace fw23 The woman is wearing a white shirt and a black jacket, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202329-cc455aae.jpg
Versace fw23 The man is wearing a brown leather jacket, which is made of leather, and a brown bag, which is made of leather	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202330-1b9562d7.jpg
Versace fw23 The man is wearing a white shirt and a brown jacket, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202331-5b2df520.jpg
Versace fw23 The woman is wearing a white shirt and a brown jacket, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202332-b6fdfede.jpg
Versace fw23 The man is wearing a black leather jacket and a white shirt, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202333-ab20d6c4.jpg
Versace fw23 The man is wearing a brown jacket and a gold shirt, which are made of leather and gold materials, respectively.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202334-a9a935f8.jpg
Versace fw23 The man is wearing a green jacket and a black bag, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202335-e19a53e9.jpg
Versace fw23 The man is wearing a black shirt and a pair of jeans, which are both made of denim.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202336-e1f30017.jpg
Versace fw23 The woman is wearing a black dress, which is made of leather, and she is also wearing a black coat.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202337-aef1f0f1.jpg
Versace fw23 The man is wearing a black leather jacket and a brown coat, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202338-23173ff5.jpg
Versace fw23 The woman is wearing a black leather jacket and a black dress, both of which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202339-f9788508.jpg
Versace fw23 The man is wearing a black leather jacket and black pants, which are both made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202340-aad12c99.jpg
Versace fw23 The woman is wearing a black trench coat, which is made of leather, and a matching black dress.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202341-fd37d378.jpg
Versace fw23 The man is wearing a blue suit, which is made of leather, and a matching blue leather bag.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202342-bd2c8ed9.jpg
Versace fw23 The woman is wearing a blue coat, which is made of wool, and she is also wearing a pair of sunglasses.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202343-c1650bf3.jpg
Versace fw23 The man is wearing a blue shirt and a blue jacket, which are made of leather.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202344-55eea8ef.jpg
Versace fw23 The man is wearing a blue suit, which is made of wool, and a blue tie.	/home/modalyeon/aiffelthon/fromage/datasets/images/cc3m/training/versacefallwinter202345-4881c9e2.jpg
